A1BG	alpha-1-B glycoprotein 
AKR1A1	aldo-keto reductase family 1 member A1 
AKR1B1	aldo-keto reductase family 1 member B 
AKR1B10	aldo-keto reductase family 1 member B10 
AKR1B15	aldo-keto reductase family 1 member B15 
AKR1C1	aldo-keto reductase family 1 member C1 
AKR1C2	aldo-keto reductase family 1 member C2 
AKR1C3	aldo-keto reductase family 1 member C3 
AKR1C4	aldo-keto reductase family 1 member C4 
AKR1D1	aldo-keto reductase family 1 member D1 
AKR1E2	aldo-keto reductase family 1 member E2 
AKT1	AKT serine/threonine kinase 1 
AKT2	AKT serine/threonine kinase 2 
ALAD	aminolevulinate dehydratase 
ALAS1	5'-aminolevulinate synthase 1 
ALAS2	5'-aminolevulinate synthase 2 
ALB	albumin 
ALDH18A1	aldehyde dehydrogenase 18 family member A1 
ALDH1A1	aldehyde dehydrogenase 1 family member A1 
ALDH1A2	aldehyde dehydrogenase 1 family member A2 
ALDH1A3	aldehyde dehydrogenase 1 family member A3 
ALDH1B1	aldehyde dehydrogenase 1 family member B1 
ALDH1L1	aldehyde dehydrogenase 1 family member L1 
ALDH2	aldehyde dehydrogenase 2 family member 
ALDH3A1	aldehyde dehydrogenase 3 family member A1 
ALDH3A2	aldehyde dehydrogenase 3 family member A2 
ALDH3B1	aldehyde dehydrogenase 3 family member B1 
ALDH3B2	aldehyde dehydrogenase 3 family member B2 
ALDH4A1	aldehyde dehydrogenase 4 family member A1 
ALDH5A1	aldehyde dehydrogenase 5 family member A1 
ALDH6A1	aldehyde dehydrogenase 6 family member A1 
ALDH7A1	aldehyde dehydrogenase 7 family member A1 
ALDH9A1	aldehyde dehydrogenase 9 family member A1 
ALDOA	aldolase, fructose-bisphosphate A 
ALDOB	aldolase, fructose-bisphosphate B 
ALG10	ALG10 alpha-1,2-glucosyltransferase 
ALK	ALK receptor tyrosine kinase 
ALKBH2	alkB homolog 2, alpha-ketoglutarate dependent dioxygenase 
ALKBH3	alkB homolog 3, alpha-ketoglutaratedependent dioxygenase 
ALOX12	arachidonate 12-lipoxygenase, 12S type 
ALOX15	arachidonate 15-lipoxygenase 
ALOX5	arachidonate 5-lipoxygenase 
ALOX5AP	arachidonate 5-lipoxygenase activating protein 
ALPG	alkaline phosphatase, germ cell 
ALPL	alkaline phosphatase, biomineralization associated 
ALPP	alkaline phosphatase, placental 
AMACR	alpha-methylacyl-CoA racemase 
AMD1	adenosylmethionine decarboxylase 1 
AMHR2	anti-Mullerian hormone receptor type 2 
AMN	amnion associated transmembrane protein 
AMPD1	adenosine monophosphate deaminase 1 
AMT	aminomethyltransferase 
AMY1A	amylase alpha 1A 
AMY2A	amylase alpha 2A 
AMY2B	amylase alpha 2B 
ANG	angiogenin 
ANKFN1	ankyrin repeat and fibronectin type III domain containing 1 
ANKK1	ankyrin repeat and kinase domain containing 1 
ANKS1B	ankyrin repeat and sterile alpha motif domain containing 1B 
ANO1	anoctamin 1 
ANO2	anoctamin 2 
ANPEP	alanyl aminopeptidase, membrane 
ANTXR1	ANTXR cell adhesion molecule 1 
ANTXR2	ANTXR cell adhesion molecule 2 
ANXA1	annexin A1 
ANXA2	annexin A2 
ANXA3	annexin A3 
ANXA4	annexin A4 
ANXA5	annexin A5 
AOC1	amine oxidase copper containing 1 
AOC3	amine oxidase copper containing 3 
AOX1	aldehyde oxidase 1 
APAF1	apoptotic peptidase activating factor 1 
APCS	amyloid P component, serum 
APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1 
APH1A	aph-1 homolog A, gamma-secretase subunit 
APLF	aprataxin and PNKP like factor 
APLP1	amyloid beta precursor like protein 1 
APLP2	amyloid beta precursor like protein 2 
APOA1	apolipoprotein A1 
APOA2	apolipoprotein A2 
APOA4	apolipoprotein A4 
APOA5	apolipoprotein A5 
APOB	apolipoprotein B 
APOBR	apolipoprotein B receptor 
APOC1	apolipoprotein C1 
APOC2	apolipoprotein C2 
APOC3	apolipoprotein C3 
APOD	apolipoprotein D 
APOE	apolipoprotein E 
APOH	apolipoprotein H 
APOL1	apolipoprotein L1 
APOM	apolipoprotein M 
APP	amyloid beta precursor protein 
APRT	adenine phosphoribosyltransferase 
AQP1	aquaporin 1 (Colton blood group) 
AQP2	aquaporin 2 
AQP3	aquaporin 3 (Gill blood group) 
AR	androgen receptor 
ARAF	A-Raf proto-oncogene, serine/threonine kinase 
ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2 
AREG	amphiregulin 
ARF1	ADP ribosylation factor 1 
ARF4	ADP ribosylation factor 4 
ARF6	ADP ribosylation factor 6 
ARG1	arginase 1 
ARG2	arginase 2 
ARHGAP12	Rho GTPase activating protein 12 
ARHGEF28	Rho guanine nucleotide exchange factor 28 
ARID5B	AT-rich interaction domain 5B 
ARL1	ADP ribosylation factor like GTPase 1 
ARL2	ADP ribosylation factor like GTPase 2 
ARL3	ADP ribosylation factor like GTPase 3 
ARL5A	ADP ribosylation factor like GTPase 5A 
ARL5B	ADP ribosylation factor like GTPase 5B 
ARMS2	age-related maculopathy susceptibility 2 
ARPC1B	actin related protein 2/3 complex subunit 1B 
ARPC2	actin related protein 2/3 complex subunit 2 
ARPC3	actin related protein 2/3 complex subunit 3 
ARPC4	actin related protein 2/3 complex subunit 4 
ARPC5	actin related protein 2/3 complex subunit 5 
ARRB2	arrestin beta 2 
ARSA	arylsulfatase A 
ARSB	arylsulfatase B 
ART1	ADP-ribosyltransferase 1 
AS3MT	arsenite methyltransferase 
ASGR2	asialoglycoprotein receptor 2 
ASIC1	acid sensing ion channel subunit 1 
ASIC2	acid sensing ion channel subunit 2 
ASIC3	acid sensing ion channel subunit 3 
ASL	argininosuccinate lyase 
ASMT	acetylserotonin O-methyltransferase 
ASNS	asparagine synthetase (glutamine-hydrolyzing) 
ASPA	aspartoacylase 
ASPG	asparaginase 
ASPH	aspartate beta-hydroxylase 
ASRGL1	asparaginase and isoaspartyl peptidase 1 
ASS1	argininosuccinate synthase 1 
ATF1	activating transcription factor 1 
ATF2	activating transcription factor 2 
ATF3	activating transcription factor 3 
ATF4	activating transcription factor 4 
ATF5	activating transcription factor 5 
ATF6	activating transcription factor 6 
ATF7	activating transcription factor 7 
ATG16L1	autophagy related 16 like 1 
ATG5	autophagy related 5 
ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase 
ATM	ATM serine/threonine kinase 
ATOX1	antioxidant 1 copper chaperone 
ATP10A	ATPase phospholipid transporting 10A (putative) 
ATP1A1	ATPase Na+/K+ transporting subunit alpha 1 
ATP1A2	ATPase Na+/K+ transporting subunit alpha 2 
ATP1A3	ATPase Na+/K+ transporting subunit alpha 3 
ATP1A4	ATPase Na+/K+ transporting subunit alpha 4 
ATP1B1	ATPase Na+/K+ transporting subunit beta 1 
ATP1B2	ATPase Na+/K+ transporting subunit beta 2 
ATP1B3	ATPase Na+/K+ transporting subunit beta 3 
ATP2A1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 
ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 
ATP2B1	ATPase plasma membrane Ca2+ transporting 1 
ATP2C1	ATPase secretory pathway Ca2+ transporting 1 
ATP4A	ATPase H+/K+ transporting subunit alpha 
ATP4B	ATPase H+/K+ transporting subunit beta 
ATP5F1A	ATP synthase F1 subunit alpha 
ATP5F1B	ATP synthase F1 subunit beta 
ATP5F1C	ATP synthase F1 subunit gamma 
ATP5F1D	ATP synthase F1 subunit delta 
ATP5F1E	ATP synthase F1 subunit epsilon 
ATP5ME	ATP synthase membrane subunit e 
ATP5MG	ATP synthase membrane subunit g 
ATP5PO	ATP synthase peripheral stalk subunit OSCP 
ATP6V1A	ATPase H+ transporting V1 subunit A 
ATP6V1B2	ATPase H+ transporting V1 subunit B2 
ATP6V1C1	ATPase H+ transporting V1 subunit C1 
ATP7A	ATPase copper transporting alpha 
ATP7B	ATPase copper transporting beta 
ATP8A1	ATPase phospholipid transporting 8A1 
AURKA	aurora kinase A 
AURKB	aurora kinase B 
AURKC	aurora kinase C 
AVPR1A	arginine vasopressin receptor 1A 
AVPR1B	arginine vasopressin receptor 1B 
AVPR2	arginine vasopressin receptor 2 
AXIN1	axin 1 
AXIN2	axin 2 
AXL	AXL receptor tyrosine kinase 
AZGP1	alpha-2-glycoprotein 1, zinc-binding 
AZIN2	antizyme inhibitor 2 
B2M	beta-2-microglobulin 
B3GAT1	beta-1,3-glucuronyltransferase 1 
B3GAT3	beta-1,3-glucuronyltransferase 3 
B4GALT1	beta-1,4-galactosyltransferase 1 
B4GALT2	beta-1,4-galactosyltransferase 2 
B4GALT3	beta-1,4-galactosyltransferase 3 
B4GALT4	beta-1,4-galactosyltransferase 4 
BAAT	bile acid-CoA:amino acid N-acyltransferase 
BACE1	beta-secretase 1 
BACH1	BTB domain and CNC homolog 1 
BAD	BCL2 associated agonist of cell death 
BAG1	BCL2 associated athanogene 1 
BAG6	BCL2 associated athanogene 6 
BARD1	BRCA1 associated RING domain 1 
BBOX1	gamma-butyrobetaine hydroxylase 1 
BCAT1	branched chain amino acid transaminase 1 
BCAT2	branched chain amino acid transaminase 2 
BCHE	butyrylcholinesterase 
BCKDK	branched chain keto acid dehydrogenase kinase 
BCL2	BCL2 apoptosis regulator 
BCL2L1	BCL2 like 1 
BCL2L11	BCL2 like 11 
BCL2L2	BCL2 like 2 
BCO1	beta-carotene oxygenase 1 
BCR	BCR activator of RhoGEF and GTPase 
BDH1	3-hydroxybutyrate dehydrogenase 1 
BDKRB1	bradykinin receptor B1 
BDKRB2	bradykinin receptor B2 
BDNF	brain derived neurotrophic factor 
BDNF-AS	BDNF antisense RNA 
BECN1	beclin 1 
BGLAP	bone gamma-carboxyglutamate protein 
BHMT	betaine--homocysteine S-methyltransferase 
BHMT2	betaine--homocysteine S-methyltransferase 2 
BIRC5	baculoviral IAP repeat containing 5 
BLK	BLK proto-oncogene, Src family tyrosine kinase 
BLMH	bleomycin hydrolase 
BLVRA	biliverdin reductase A 
BLVRB	biliverdin reductase B 
BMP2K	BMP2 inducible kinase 
BMP4	bone morphogenetic protein 4 
BMP5	bone morphogenetic protein 5 
BMP7	bone morphogenetic protein 7 
BMPR1A	bone morphogenetic protein receptor type 1A 
BMPR1B	bone morphogenetic protein receptor type 1B 
BMPR2	bone morphogenetic protein receptor type 2 
BMX	BMX non-receptor tyrosine kinase 
BPHL	biphenyl hydrolase like 
BPI	bactericidal permeability increasing protein 
BRAF	B-Raf proto-oncogene, serine/threonine kinase 
BRCA1	BRCA1 DNA repair associated 
BRCA2	BRCA2 DNA repair associated 
BRCC3	BRCA1/BRCA2-containing complex subunit 3 
BST1	bone marrow stromal cell antigen 1 
BTK	Bruton tyrosine kinase 
C11orf65	chromosome 11 open reading frame 65 
C1QA	complement C1q A chain 
C1QB	complement C1q B chain 
C1QBP	complement C1q binding protein 
C1QC	complement C1q C chain 
C1R	complement C1r 
C1S	complement C1s 
C3	complement C3 
C4A	complement C4A (Rodgers blood group) 
C4B	complement C4B (Chido blood group) 
C4BPA	complement component 4 binding protein alpha 
C4BPB	complement component 4 binding protein beta 
C5	complement C5 
C6	complement C6 
C8A	complement C8 alpha chain 
C8B	complement C8 beta chain 
C8G	complement C8 gamma chain 
C8orf34	chromosome 8 open reading frame 34 
C9	complement C9 
C9orf72	C9orf72-SMCR8 complex subunit 
CA1	carbonic anhydrase 1 
CA10	carbonic anhydrase 10 
CA11	carbonic anhydrase 11 
CA12	carbonic anhydrase 12 
CA13	carbonic anhydrase 13 
CA14	carbonic anhydrase 14 
CA2	carbonic anhydrase 2 
CA3	carbonic anhydrase 3 
CA4	carbonic anhydrase 4 
CA5A	carbonic anhydrase 5A 
CA5B	carbonic anhydrase 5B 
CA6	carbonic anhydrase 6 
CA7	carbonic anhydrase 7 
CA8	carbonic anhydrase 8 
CA9	carbonic anhydrase 9 
CACNA1A	calcium voltage-gated channel subunit alpha1 A 
CACNA1B	calcium voltage-gated channel subunit alpha1 B 
CACNA1C	calcium voltage-gated channel subunit alpha1 C 
CACNA1D	calcium voltage-gated channel subunit alpha1 D 
CACNA1E	calcium voltage-gated channel subunit alpha1 E 
CACNA1F	calcium voltage-gated channel subunit alpha1 F 
CACNA1G	calcium voltage-gated channel subunit alpha1 G 
CACNA1H	calcium voltage-gated channel subunit alpha1 H 
CACNA1I	calcium voltage-gated channel subunit alpha1 I 
CACNA1S	calcium voltage-gated channel subunit alpha1 S 
CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1 
CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2 
CACNA2D3	calcium voltage-gated channel auxiliary subunit alpha2delta 3 
CACNA2D4	calcium voltage-gated channel auxiliary subunit alpha2delta 4 
CACNB1	calcium voltage-gated channel auxiliary subunit beta 1 
CACNB2	calcium voltage-gated channel auxiliary subunit beta 2 
CACNB3	calcium voltage-gated channel auxiliary subunit beta 3 
CACNB4	calcium voltage-gated channel auxiliary subunit beta 4 
CACNG1	calcium voltage-gated channel auxiliary subunit gamma 1 
CACNG2	calcium voltage-gated channel auxiliary subunit gamma 2 
CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3 
CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4 
CACNG5	calcium voltage-gated channel auxiliary subunit gamma 5 
CACNG6	calcium voltage-gated channel auxiliary subunit gamma 6 
CACNG7	calcium voltage-gated channel auxiliary subunit gamma 7 
CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8 
CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase 
CADPS	calcium dependent secretion activator 
CADPS2	calcium dependent secretion activator 2 
CALB1	calbindin 1 
CALB2	calbindin 2 
CALCA	calcitonin related polypeptide alpha 
CALCB	calcitonin related polypeptide beta 
CALCR	calcitonin receptor 
CALCRL	calcitonin receptor like receptor 
CALM1	calmodulin 1 
CALM2	calmodulin 2 
CALM3	calmodulin 3 
CALR	calreticulin 
CALR3	calreticulin 3 
CALU	calumenin 
CALY	calcyon neuron specific vesicular protein 
CAMK1	calcium/calmodulin dependent protein kinase I 
CAMK1D	calcium/calmodulin dependent protein kinase ID 
CAMK1G	calcium/calmodulin dependent protein kinase IG 
CAMK2A	calcium/calmodulin dependent protein kinase II alpha 
CAMK2B	calcium/calmodulin dependent protein kinase II beta 
CAMK2D	calcium/calmodulin dependent protein kinase II delta 
CAMK2G	calcium/calmodulin dependent protein kinase II gamma 
CAMK4	calcium/calmodulin dependent protein kinase IV 
CAMKK1	calcium/calmodulin dependent protein kinase kinase 1 
CAMKK2	calcium/calmodulin dependent protein kinase kinase 2 
CAMLG	calcium modulating ligand 
CAMP	cathelicidin antimicrobial peptide 
CANT1	calcium activated nucleotidase 1 
CANX	calnexin 
CAPG	capping actin protein, gelsolin like 
CAPN1	calpain 1 
CAPN10	calpain 10 
CAPN3	calpain 3 
CAPNS1	calpain small subunit 1 
CAPS	calcyphosine 
CARS1	cysteinyl-tRNA synthetase 1 
CARS2	cysteinyl-tRNA synthetase 2, mitochondrial 
CARTPT	CART prepropeptide 
CASK	calcium/calmodulin dependent serine protein kinase 
CASP1	caspase 1 
CASP3	caspase 3 
CASP7	caspase 7 
CASP8	caspase 8 
CASQ1	calsequestrin 1 
CASQ2	calsequestrin 2 
CASR	calcium sensing receptor 
CAST	calpastatin 
CAT	catalase 
CATSPER1	cation channel sperm associated 1 
CBLIF	cobalamin binding intrinsic factor 
CBR1	carbonyl reductase 1 
CBR3	carbonyl reductase 3 
CBS	cystathionine beta-synthase 
CBX5	chromobox 5 
CCHCR1	coiled-coil alpha-helical rod protein 1 
CCKAR	cholecystokinin A receptor 
CCKBR	cholecystokinin B receptor 
CCL11	C-C motif chemokine ligand 11 
CCL2	C-C motif chemokine ligand 2 
CCL3	C-C motif chemokine ligand 3 
CCL5	C-C motif chemokine ligand 5 
CCL8	C-C motif chemokine ligand 8 
CCN3	cellular communication network factor 3 
CCNA2	cyclin A2 
CCND1	cyclin D1 
CCNK	cyclin K 
CCR2	C-C motif chemokine receptor 2 
CCR4	C-C motif chemokine receptor 4 
CCR5	C-C motif chemokine receptor 5 (gene/pseudogene) 
CCR9	C-C motif chemokine receptor 9 
CCS	copper chaperone for superoxide dismutase 
CCT3	chaperonin containing TCP1 subunit 3 
CD14	CD14 molecule 
CD163	CD163 molecule 
CD19	CD19 molecule 
CD1A	CD1a molecule 
CD1D	CD1d molecule 
CD2	CD2 molecule 
CD22	CD22 molecule 
CD247	CD247 molecule 
CD274	CD274 molecule 
CD33	CD33 molecule 
CD38	CD38 molecule 
CD3D	CD3d molecule 
CD3E	CD3e molecule 
CD3EAP	CD3e molecule associated protein 
CD3G	CD3g molecule 
CD4	CD4 molecule 
CD40	CD40 molecule 
CD40LG	CD40 ligand 
CD44	CD44 molecule (Indian blood group) 
CD52	CD52 molecule 
CD55	CD55 molecule (Cromer blood group) 
CD58	CD58 molecule 
CD69	CD69 molecule 
CD79B	CD79b molecule 
CD80	CD80 molecule 
CD84	CD84 molecule 
CD86	CD86 molecule 
CD9	CD9 molecule 
CDA	cytidine deaminase 
CDC25B	cell division cycle 25B 
CDC42	cell division cycle 42 
CDC42BPG	CDC42 binding protein kinase gamma 
CDC5L	cell division cycle 5 like 
CDH11	cadherin 11 
CDH2	cadherin 2 
CDH23	cadherin related 23 
CDH5	cadherin 5 
CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase 
CDK1	cyclin dependent kinase 1 
CDK15	cyclin dependent kinase 15 
CDK16	cyclin dependent kinase 16 
CDK17	cyclin dependent kinase 17 
CDK2	cyclin dependent kinase 2 
CDK4	cyclin dependent kinase 4 
CDK5	cyclin dependent kinase 5 
CDK5R1	cyclin dependent kinase 5 regulatory subunit 1 
CDK6	cyclin dependent kinase 6 
CDK7	cyclin dependent kinase 7 
CDK8	cyclin dependent kinase 8 
CDK9	cyclin dependent kinase 9 
CDKAL1	CDK5 regulatory subunit associated protein 1 like 1 
CDKL1	cyclin dependent kinase like 1 
CDKL2	cyclin dependent kinase like 2 
CDKN1A	cyclin dependent kinase inhibitor 1A 
CDKN2B-AS1	CDKN2B antisense RNA 1 
CDO1	cysteine dioxygenase type 1 
CEACAM1	CEA cell adhesion molecule 1 
CEACAM5	CEA cell adhesion molecule 5 
CEBPB	CCAAT enhancer binding protein beta 
CEL	carboxyl ester lipase 
CELA1	chymotrypsin like elastase 1 
CELA2A	chymotrypsin like elastase 2A 
CELF4	CUGBP Elav-like family member 4 
CELSR2	cadherin EGF LAG seven-pass G-type receptor 2 
CENPE	centromere protein E 
CEP68	centrosomal protein 68 
CEP72	centrosomal protein 72 
CEPT1	choline/ethanolamine phosphotransferase 1 
CERKL	ceramide kinase like 
CERS6	ceramide synthase 6 
CES1	carboxylesterase 1 
CES1P1	carboxylesterase 1 pseudogene 1 
CES2	carboxylesterase 2 
CETP	cholesteryl ester transfer protein 
CFAP44	cilia and flagella associated protein 44 
CFB	complement factor B 
CFD	complement factor D 
CFH	complement factor H 
CFHR4	complement factor H related 4 
CFI	complement factor I 
CFL1	cofilin 1 
CFTR	CF transmembrane conductance regulator 
CHAT	choline O-acetyltransferase 
CHD1	chromodomain helicase DNA binding protein 1 
CHDH	choline dehydrogenase 
CHEK1	checkpoint kinase 1 
CHEK2	checkpoint kinase 2 
CHIA	chitinase acidic 
CHIT1	chitinase 1 
CHKA	choline kinase alpha 
CHKB	choline kinase beta 
CHP1	calcineurin like EF-hand protein 1 
CHRFAM7A	CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion 
CHRM1	cholinergic receptor muscarinic 1 
CHRM2	cholinergic receptor muscarinic 2 
CHRM3	cholinergic receptor muscarinic 3 
CHRM4	cholinergic receptor muscarinic 4 
CHRM5	cholinergic receptor muscarinic 5 
CHRNA1	cholinergic receptor nicotinic alpha 1 subunit 
CHRNA10	cholinergic receptor nicotinic alpha 10 subunit 
CHRNA2	cholinergic receptor nicotinic alpha 2 subunit 
CHRNA3	cholinergic receptor nicotinic alpha 3 subunit 
CHRNA4	cholinergic receptor nicotinic alpha 4 subunit 
CHRNA5	cholinergic receptor nicotinic alpha 5 subunit 
CHRNA6	cholinergic receptor nicotinic alpha 6 subunit 
CHRNA7	cholinergic receptor nicotinic alpha 7 subunit 
CHRNA9	cholinergic receptor nicotinic alpha 9 subunit 
CHRNB1	cholinergic receptor nicotinic beta 1 subunit 
CHRNB2	cholinergic receptor nicotinic beta 2 subunit 
CHRNB3	cholinergic receptor nicotinic beta 3 subunit 
CHRNB4	cholinergic receptor nicotinic beta 4 subunit 
CHRND	cholinergic receptor nicotinic delta subunit 
CHRNE	cholinergic receptor nicotinic epsilon subunit 
CHRNG	cholinergic receptor nicotinic gamma subunit 
CHST1	carbohydrate sulfotransferase 1 
CHST10	carbohydrate sulfotransferase 10 
CHST11	carbohydrate sulfotransferase 11 
CHST13	carbohydrate sulfotransferase 13 
CHST2	carbohydrate sulfotransferase 2 
CHST3	carbohydrate sulfotransferase 3 
CHST4	carbohydrate sulfotransferase 4 
CHST5	carbohydrate sulfotransferase 5 
CHST6	carbohydrate sulfotransferase 6 
CHST9	carbohydrate sulfotransferase 9 
CHUK	component of inhibitor of nuclear factor kappa B kinase complex 
CHURC1	churchill domain containing 1 
